date,Open,High,Low,Close,Volume,MarketCap
2016-12-23,864.89,925.12,864.68,921.98,275564000,14807189352
2016-12-24,922.18,923.48,886.34,898.82,137727008,14436754927
2016-12-25,899.65,899.65,862.42,896.18,143664992,14396194094
2016-12-26,896.91,913.18,896.9,907.61,123771000,14581389977
2016-12-27,908.35,940.05,904.26,933.2,167308000,14994286713
2016-12-28,934.83,975.92,934.83,975.92,236630000,15682769405
2016-12-29,975.13,979.4,954.5,973.5,199320000,15645617392
2016-12-30,972.53,972.53,934.83,961.24,187474000,15450507055
2016-12-31,960.63,963.74,947.24,963.74,99135104,15492554222
2017-01-01,963.66,1003.08,958.7,998.33,147775008,16050407461
2017-01-02,998.62,1031.39,996.7,1021.75,222184992,16429024775
2017-01-03,1021.6,1044.08,1021.6,1043.84,185168000,16786368910
2017-01-04,1044.4,1159.42,1044.4,1154.73,344945984,18571869009
2017-01-05,1156.73,1191.1,910.42,1013.38,510199008,16300254795
2017-01-06,1014.24,1046.81,883.94,902.2,351876000,14513695758
2017-01-07,903.49,908.59,823.56,908.59,279550016,14618030536
2017-01-08,908.17,942.72,887.25,911.2,158715008,14661966429
2017-01-09,913.24,913.69,879.81,902.83,141876992,14528815565
2017-01-10,902.44,914.87,901.06,907.68,115808000,14608685049
2017-01-11,908.11,919.45,762.77,777.76,310928992,12519135996
2017-01-12,775.18,826.25,755.76,804.83,222326000,12956730411
2017-01-13,803.74,829,780,823.98,168968000,13266554392
2017-01-14,825.14,835.09,812.46,818.41,93063296,13178601992
2017-01-15,818.14,823.31,812.87,821.8,71013600,13234840657
2017-01-16,821.78,834.53,820.27,831.53,82755200,13393372620
2017-01-17,830.95,910.56,830.8,907.94,155095008,14625779851
2017-01-18,909.37,917.5,858.3,886.62,225676992,14284036613
2017-01-19,888.34,904.61,884.34,899.07,105625000,14486616700
2017-01-20,898.17,899.4,887.01,895.03,86728400,14423545371
2017-01-21,895.55,927.37,895.53,921.79,111158000,14856911163
2017-01-22,922.21,937.53,897.56,924.67,116573000,14905439337
2017-01-23,925.5,928.27,916.74,921.01,73588600,14848013909
2017-01-24,910.68,924.15,892.29,892.69,111349000,14393026385
2017-01-25,891.92,903.25,891.69,901.54,120831000,14537488261
2017-01-26,902.4,919.33,902.22,917.59,131958000,14797955301
2017-01-27,918.36,923.22,915.85,919.75,125594000,14834831700
2017-01-28,919.81,923.91,919.81,921.59,68979600,14866260449
2017-01-29,922.07,923.42,919.15,919.5,60851700,14834377926
2017-01-30,920.15,923.05,919.47,920.38,78227296,14850351605
2017-01-31,920.96,972.02,920.96,970.4,164582000,15659186515
2017-02-01,970.94,989.11,970.74,989.02,150110000,15962015276
2017-02-02,990,1013.52,983.22,1011.8,145820992,16331615570
2017-02-03,1011.46,1033.87,1008.79,1029.91,201278000,16625849489
2017-02-04,1031.33,1045.9,1015.16,1042.9,155064000,16837411920
2017-02-05,1043.52,1043.63,1022.37,1027.34,114208000,16588240157
2017-02-06,1028.4,1044.64,1028.16,1038.15,111762000,16764422010
