DATETIME,blob_sent,Open,High,Low,Close,Volume,,,,
2019-06-07 14:24,0,7826.9,8126.15,7788.37,8043.95,19141423231,,,,
2019-06-07 15:03,0.2,7826.9,8126.15,7788.37,8043.95,19141423231,,,,
2019-06-07 16:05,0,7826.9,8126.15,7788.37,8043.95,19141423231,,,,
2019-06-07 16:05,0,7826.9,8126.15,7788.37,8043.95,19141423231,,,,
2019-06-07 16:05,0,7826.9,8126.15,7788.37,8043.95,19141423231,,,,
2019-06-07 16:05,0,7826.9,8126.15,7788.37,8043.95,19141423231,,,,
2019-06-07 16:16,0.025,7826.9,8126.15,7788.37,8043.95,19141423231,,,,
2019-06-07 16:16,0.025,7826.9,8126.15,7788.37,8043.95,19141423231,,,,
2019-06-07 16:38,0.7,7826.9,8126.15,7788.37,8043.95,19141423231,,,,
2019-06-07 16:38,0.7,7826.9,8126.15,7788.37,8043.95,19141423231,,,,
2019-06-07 16:42,0.3,7826.9,8126.15,7788.37,8043.95,19141423231,,,,
2019-06-07 17:52,0,7826.9,8126.15,7788.37,8043.95,19141423231,,,,
2019-06-07 18:08,0.4,7826.9,8126.15,7788.37,8043.95,19141423231,,,,
2019-06-07 18:08,0.4,7826.9,8126.15,7788.37,8043.95,19141423231,,,,
2019-06-07 18:08,0.4,7826.9,8126.15,7788.37,8043.95,19141423231,,,,
2019-06-07 21:35,-0.5,7826.9,8126.15,7788.37,8043.95,19141423231,,,,
2019-06-07 21:50,0,7826.9,8126.15,7788.37,8043.95,19141423231,,,,
2019-06-07 21:50,0,7826.9,8126.15,7788.37,8043.95,19141423231,,,,
2019-06-07 22:19,0,7826.9,8126.15,7788.37,8043.95,19141423231,,,,
2019-06-08 9:22,0,8036.77,8076.89,7837.61,7954.13,16522722810,,,,
2019-06-08 9:22,0,8036.77,8076.89,7837.61,7954.13,16522722810,,,,
2019-06-08 10:11,-0.25,8036.77,8076.89,7837.61,7954.13,16522722810,,,,
2019-06-08 13:25,-0.045,8036.77,8076.89,7837.61,7954.13,16522722810,,,,
2019-06-08 13:25,-0.045,8036.77,8076.89,7837.61,7954.13,16522722810,,,,
2019-06-08 13:39,0.375,8036.77,8076.89,7837.61,7954.13,16522722810,,,,
2019-06-08 13:43,0.366666667,8036.77,8076.89,7837.61,7954.13,16522722810,,,,
2019-06-08 13:43,0.366666667,8036.77,8076.89,7837.61,7954.13,16522722810,,,,
2019-06-08 14:27,-0.083333333,8036.77,8076.89,7837.61,7954.13,16522722810,,,,
2019-06-09 1:44,0.285714286,7949.67,7975.97,7583.22,7688.08,16610726547,,,,
2019-06-09 1:44,0.285714286,7949.67,7975.97,7583.22,7688.08,16610726547,,,,
2019-06-09 10:50,0,7949.67,7975.97,7583.22,7688.08,16610726547,,,,
2019-06-09 11:12,0.425,7949.67,7975.97,7583.22,7688.08,16610726547,,,,
2019-06-09 11:12,0.425,7949.67,7975.97,7583.22,7688.08,16610726547,,,,
2019-06-09 14:22,0,7949.67,7975.97,7583.22,7688.08,16610726547,,,,
2019-06-09 15:06,0,7949.67,7975.97,7583.22,7688.08,16610726547,,,,
2019-06-09 15:06,0,7949.67,7975.97,7583.22,7688.08,16610726547,,,,
2019-06-09 15:31,0.318181818,7949.67,7975.97,7583.22,7688.08,16610726547,,,,
2019-06-09 15:31,0.318181818,7949.67,7975.97,7583.22,7688.08,16610726547,,,,
2019-06-09 15:58,0,7949.67,7975.97,7583.22,7688.08,16610726547,,,,
2019-06-09 15:58,0,7949.67,7975.97,7583.22,7688.08,16610726547,,,,
2019-06-09 16:13,0,7949.67,7975.97,7583.22,7688.08,16610726547,,,,
2019-06-09 16:13,0,7949.67,7975.97,7583.22,7688.08,16610726547,,,,
2019-06-09 16:13,0,7949.67,7975.97,7583.22,7688.08,16610726547,,,,
